Compound_CID,Name,SMILES
175678530,"N-(3-(1,3-dioxoisoindolin-2-yl)-2-hydroxypropyl)-N-(4-(3-oxomorpholino)phenyl)nitrous amide",C1COCC(=O)N1C2=CC=C(C=C2)N(CC(CN3C(=O)C4=CC=CC=C4C3=O)O)N=O
175686390,"N-((3R,4R)-1-benzyl-4-methylpiperidin-3-yl)-N-methylnitrous amide",C[C@@H]1CCN(C[C@@H]1N(C)N=O)CC2=CC=CC=C2
176451378,"N-((2R,3R)-3-(4-hydroxyphenyl)-2-methylpentyl)-N-methylnitrous amide",CC[C@@H](C1=CC=C(C=C1)O)[C@@H](C)CN(C)N=O
172915838,N-Dodecyl-N-(2-hydroxyethyl)nitrous amide,CCCCCCCCCCCCN(CCO)N=O
172967474,N-Ethyl-N-methoxynitrous amide,CCN(N=O)OC
172967502,N-Benzyl-N-cyclohexylnitrous amide,C1CCC(CC1)N(CC2=CC=CC=C2)N=O
172967550,N-Benzyl-N-vinylnitrous amide,C=CN(CC1=CC=CC=C1)N=O
172967554,"N-(2,6-Dichlorophenyl)nitrous amide",C1=CC(=C(C(=C1)Cl)NN=O)Cl
172967598,"N,N-Bis(2-fluoroethyl)nitrous amide",C(CF)N(CCF)N=O
172967698,"N-(2,2-Dichloroethyl)nitrous amide",C(C(Cl)Cl)NN=O
172967718,N-Allyl-N-(3-oxobutyl)nitrous amide,CC(=O)CCN(CC=C)N=O
172967726,N-Benzyl-N-hexylnitrous amide,CCCCCCN(CC1=CC=CC=C1)N=O
172967734,N-(4-Ethynylphenyl)nitrous amide,C#CC1=CC=C(C=C1)NN=O
172967738,N-(Thiazolidin-2-yl)nitrous amide,C1CSC(N1)NN=O
172967463,N-(4-Benzoylphenyl)nitrous amide,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)NN=O
172967475,N-(Benzyloxy)-N-methylnitrous amide,CN(N=O)OCC1=CC=CC=C1
172967499,N-Octyl-N-(3-oxobutyl)nitrous amide,CCCCCCCCN(CCC(=O)C)N=O
172967555,N-Methyl-N-tritylnitrous amide,CN(C(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)N=O
172967611,"N-(3,5-Dichlorobenzyl)nitrous amide",C1=C(C=C(C=C1Cl)Cl)CNN=O
172967615,"N-(2,4-Dichlorophenyl)nitrous amide",C1=CC(=C(C=C1Cl)Cl)NN=O
172967671,N-(2-Iodophenyl)nitrous amide,C1=CC=C(C(=C1)NN=O)I
172967707,N-Ethynylnitrous amide,C#CNN=O
172967723,N-Allyl-N-(p-tolyl)nitrous amide,CC1=CC=C(C=C1)N(CC=C)N=O
170907768,"N-((3R,4S)-3-Fluoro-1-methylpiperidin-4-YL)-N-(4-fluorobenzyl)nitrous amide",CN1CC[C@@H]([C@@H](C1)F)N(CC2=CC=C(C=C2)F)N=O
172990035,"N-(2-amino-3,5-dibromobenzyl)-N-methylnitrous amide",CN(CC1=C(C(=CC(=C1)Br)Br)N)N=O
172990215,N-(2-(3-Hydroxyphenyl)-2-oxoethyl)-N-methylnitrous Amide,CN(CC(=O)C1=CC(=CC=C1)O)N=O
172990239,N-(2-((2-Hydroxyethyl)amino)ethyl)-N-phenylnitrous Amide Hydrochloride,C1=CC=C(C=C1)N(CCNCCO)N=O.Cl
172990287,"N-(3,4-Dimethoxyphenyl)-N-((2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-ylidene)methyl)nitrous Amide",CC1(OC(=O)C(=CN(C2=CC(=C(C=C2)OC)OC)N=O)C(=O)O1)C
172990435,N-(3-Chloro-2-hydroxypropyl)-N-(4-(3-oxomorpholino)phenyl)nitrous Amide,C1COCC(=O)N1C2=CC=C(C=C2)N(CC(CCl)O)N=O
172990459,(R)-N-(2-hydroxy-2-phenylethyl)-N-(4-nitrophenethyl)nitrous amide,C1=CC=C(C=C1)[C@H](CN(CCC2=CC=C(C=C2)[N+](=O)[O-])N=O)O
172994343,N-(2-chloroethyl)-N-(1-phenoxypropan-2-yl)nitrous Amide,CC(COC1=CC=CC=C1)N(CCCl)N=O
170458081,N-(2-(2-cyanopyrrolidin-1-yl)-2-oxoethyl)-N-(3-hydroxyadamantan-1-yl)nitrous amide,C1CC(N(C1)C(=O)CN(C23CC4CC(C2)CC(C4)(C3)O)N=O)C#N
