Compound_CID,Name,SMILES
69306311,"Caffeine-sodium benzoate, analytical standard",CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C=C1)C(=O)O.[Na]
6448871,"(E)-8-(2,4-Dimethoxy-3-methylstyryl)caffeine",CC1=C(C=CC(=C1OC)/C=C/C2=NC3=C(N2C)C(=O)N(C(=O)N3C)C)OC
129637681,Hydrazino-Caffein,CN1C=NC2=C1C(=O)N(C(=O)N2C)CNN
129648105,Oxalsaures Caffein,CN1C2=C3N=C1OC(=O)C(=O)OCN3C(=O)N(C2=O)C
129651021,Diethohydroxy caffeine,CN1C(=O)C2=C3NC(=O)N2CCCC4(N3C1=O)CC4
129724093,Cisplatin caffeine,[CH3-].CN1C=NC(=C1[C-]=O)N(C)[C-]=O.[Pt]
129734613,Deuteromethyl caffeine,[2H]CCN1C(=O)C2=C(N=CN2C)N(C1=O)C
129773737,Caffeine.benzene,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=CC=C1
129718040,Caffeine carbamate,CN1C2=C(N=C1OC(=O)N)N(C(=O)N(C2=O)C)C
129779077,Caffeine-benzoate sodium,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC3=CC=CC=C3C(=O)[O-].[Na+]
129720509,Caffeine-caffeic acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC3=CC(=C(C=C3/C=C/C(=O)O)O)O
129734608,Trideuteromethyl caffeine,[2H]C([2H])([2H])CN1C(=O)C2=C(N=CN2C)N(C1=O)C
139064237,Caffeine:anthranilic acid mono o-xylene,CC1=CC=CC=C1C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)O)N
139146205,Niclosamide-caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
139146505,1:1 cocrystal of Temozolomide and Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C(=O)N2C=NC(=C2N=N1)C(=O)N
139196297,Caffeine:2-iodo-4nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])I)N
