,Compound_CID,Name,SMILES
59,164517238,Xanthine oxidase-IN-8,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C(C4=C(C(=C3)O)C(=O)C(=C(O4)C5=CC=C(C=C5)OC)O[C@H]6[C@@H]([C@@H]([C@H]([C@@H](O6)C)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)CC=C(C)C)CO)O)O)O)O)O
60,164517239,Xanthine oxidase-IN-9,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=C(C2=O)C(=CC(=C3CCC(C)(C)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)C5=CC=C(C=C5)OC)O[C@H]6[C@@H]([C@@H]([C@H](CO6)O)O)O)O)O
61,164516876,Xanthine oxidoreductase-IN-2,CC(C)(C)C1=CC=C(C=C1)C2=C(C=C(C=C2)N3CNC(=C3)C(=O)O)C#N
62,121225800,"1,3-Dimethyl-8-[3-{2-(hexamethyleneimin-1-yl)-2-oxoethoxy}-phenyl]xanthine (14e, RB-376)",CN1C(=O)C2=NC(=NC2=[N+](C1=O)C)C3=CC(=CC=C3)OCC(=O)N4CCCCCC4
63,633392,"Xanthine, 8-[3-bromocyclopentyl]-1,3-dipropyl-",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(C3)Br
64,634764,"Xanthine, 8-[3-iodocyclopentyl]-1,3-dipropyl-",CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(C3)I
65,146310,Xanthine 7-N-oxide,C1=NC2=C(N1[O-])C(=O)NC(=O)[NH2+]2
66,18918801,3-Methyl-7-[4-(4-chlorobenzoyl)benzyl]xanthine,CN1C2=C(C(=O)NC1=O)N(C=N2)CC3=CC=C(C=C3)C(=O)C4=CC=C(C=C4)Cl
67,17964856,1-[2-(2-Aminophenyl)-2-oxoethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert-butyloxycarbonyl-amino)piperidin-1-yl]xanthine,CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CC(=O)C4=CC=CC=C4N)C)C
68,19063870,1-(5-Oxohexyl)-3-methyl-7-(methylpivaloyl)xanthine,CCC(C)(C)C(=O)N1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C
69,96610,8-(Butylthio)xanthine,CCCCSC1=NC2=C(N1)C(=O)NC(=O)N2
70,71314528,"1-(3-Carboxypropyl)-3,7-dimethyl Xanthine-d6",[2H]C([2H])([2H])N1C=NC2=C1C(=O)N(C(=O)N2C([2H])([2H])[2H])CCCC(=O)O
