Compound_CID,Name,SMILES
176474725,Ibuprofen Impurity 70,CCCC1=CC=C(C=C1)C2(OCC(CO2)(C)C)C(C)Cl
176474699,Ibuprofen Impurity 106,CC(C)CC1=CC(=CC=C1)C(C)C(=O)OCC(C)(C)CCl
176474707,Ibuprofen impurity 125,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC(COC(=O)C(C)C2=CC=C(C=C2)CC(C)C)O
176474711,Ibuprofen impurity 130,CCCOC(=O)C1=CC(=C(C(=C1)OC(=O)C(C)C2=CC=C(C=C2)CC(C)C)O)O
176474715,Ibuprofen impurity 142,CCC1=CC=C(C=C1)C(C)C(=O)[O-].[Na+]
131720795,Ibuprofen Ala Tris,C[C@@H](C(=O)O)N.CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.C(C(CO)(CO)N)O
71772182,"(S,S)-N-(1-Phenylethyl)ibuprofen amide",C[C@@H](C1=CC=C(C=C1)CC(C)C(=O)N[C@@H](C)C2=CC=CC=C2)C(=O)O
131725383,Ibuprofen (alpha-methyl-4-[2-methylpropyl]-phenylacetic acid) chloride,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(C)CC1=CC=C(C=C1)C(C)C(=O)Cl
176474700,Ibuprofen Impurity 107,CC(C)CC1=CC=CC=C1C(C)C(=O)OCC(C)(C)CCl
176474704,Ibuprofen Impurity 112,CCC(C)C1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
176474708,Ibuprofen Impurity 126,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC[C@@H]([C@@H]([C@H]([C@H](CO)O)O)O)O
176474712,Ibuprofen impurity 131,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2=CC=CC(=C2)C(CNC)O
176474716,Ibuprofen impurity 143,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O[C@@H]2CO[C@H]3[C@@H]2OC[C@@H]3O
162642668,Hydroxy Ibuprofen-d3,[2H]C([2H])([2H])C(C1=CC=C(C=C1)CC(C)CO)C(=O)O
176453219,Ibuprofen disodium salt,CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-].[Na+].[Na+]
129848245,Ibuprofen thioester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OS
129318307,"Ibuprofen 2,3-Butylene Glycol Ester",CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC(C)C(C)O
129852361,n-Amyl ibuprofen,CCCCCC(C)(C1=CC=C(C=C1)CC(C)C)C(=O)O
9864979,Aspirin-ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O
129852312,"(r,s)-Ibuprofen ethoxyethyl ester",CCOC(C)OC(=O)C(C)C1=CC=C(C=C1)CC(C)C
171379539,rac 2-(tert-Butyldimethylsilyloxy)-Alpha-desmethyl Ibuprofen-d6 tert-Butyldimethylsily Ester,[2H]C([2H])([2H])C(CC1=CC=C(C=C1)CC(=O)O[Si](C)(C)C(C)(C)C)(C([2H])([2H])[2H])O[Si](C)(C)C(C)(C)C
71749439,Ibuprofen-d3 Alcohol,[2H]C([2H])([2H])C(CO)C1=CC=C(C=C1)CC(C)C
71749535,m-Isobutyl Ibuprofen-d3,[2H]C([2H])([2H])C(C1=CC=CC(=C1)CC(C)C)C(=O)O
69437198,Hydrochloride ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.Cl
23275413,"Ibuprofen, pentyl ester",CCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
23277209,"Ibuprofen, hexadecyl ester",CCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
23277325,"Ibuprofen, octadecyl ester",CCCCCCCCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
177828925,Ibuprofen Impurity 3,CCOOC(=O)[C@@H](C)C1=CC=C(C=C1)CC(C)C
177829345,(S)-Ibuprofen-d3,[2H]C([2H])C([2H])(C)CC1=CC=C(C=C1)[C@H](C)C(=O)O
177830305,Ibuprofen Pseudoephedrine Ester,C[C@@H]([C@H](C1=CC=CC=C1)OC(=O)C(C)C2=CC=C(C=C2)CC(C)C)NC.Cl
23276884,"Ibuprofen, dodecyl ester",CCCCCCCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
23275918,"Ibuprofen, heptyl ester",CCCCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
57168899,Ibuprofen Impurity 108,CCCCC1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
25192998,Phospho-ibuprofen,CCOP(=O)(OCC)OCCCCOC(=O)C(C)C1=CC=C(C=C1)CC(C)C
177828924,Ibuprofen Impurity 24,CC(C)CC1=CC=C(C=C1)C2CCC(C3=C2C=C(C=C3)CC(C)C)C(=O)O
177830304,Ibuprofen Impurity 81,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCC(C2C(C(CO2)O)O)O
172990349,Ibuprofen Hexaethylene Glycol Ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCOCCOCCOCCOCCOCCO
171379540,rac 2-(tert-Butyldimethylsilyloxy)-Alpha-desmethyl Ibuprofen-d6,[2H]C([2H])([2H])C(CC1=CC=C(C=C1)CC(=O)O)(C([2H])([2H])[2H])O[Si](C)(C)C(C)(C)C
171921287,"(R,S)-Ibuprofen-d4 acyl-beta-D-glucuronide",[2H]C1=C(C(=C(C(=C1CC(C)C)[2H])[2H])C(C)C(=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O)[2H]
129628135,Ibuprofen AL,CC(C)CC1=CC=C(C=C1)C(C)(C=O)C(=O)O
169439578,Des-2-(4-Isobutyl) 3-Ethoxy-2-methyl-3-oxo Ibuprofen,CCOC(=O)C(C)CC1=CC=C(C=C1)C(C)C(=O)O
176474702,Ibuprofen Impurity 110,CCC1=CC=C(C=C1)C(C)C(=O)OCC(C)(C)CCl
176474706,Ibuprofen impurity 120,CC(C)CC1=CC(=CC=C1)C(C)C(=O)OC[C@H]([C@@H]2[C@@H]([C@H](CO2)O)O)O
176474710,Ibuprofen impurity 129,CCCOC(=O)C1=CC(=C(C(=C1)O)OC(=O)C(C)C2=CC=C(C=C2)CC(C)C)O
176474714,Ibuprofen impurity 140,CC(C(=O)OCC(C)(C)COC(=O)C(C)Cl)Cl
176474722,Ibuprofen Impurity 72,CCC1(OCC(CO1)(C)C)C2=CC=C(C=C2)CC(C)C
145864116,Lidocainium Ibuprofenate,CC[NH+](CC)CC(=O)NC1=C(C=CC=C1C)C.CC(C)CC1=CC=C(C=C1)C(C)C(=O)[O-]
176489222,"1,2 Dihydroxy Ibuprofen",CC(C1=CC=C(C=C1)C(C(C)(C)O)O)C(=O)O
169442363,(S)-(+)-Ibuprofen 2-(Benzyloxy)propan-1-yl Ester,C[C@@H](C1=CC=C(C=C1)CC(C)C)C(=O)OCC(C)OCC2=CC=CC=C2
169442415,"Ibuprofen 1,3-Di-O-benzylglyceride",CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC(COCC2=CC=CC=C2)COCC3=CC=CC=C3
117803626,Ibuprofen hydroxyl ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OO
138112364,Ibuprofen Impurity 47,CC(C)CC1=CC=C(C=C1)[C@@]2(CCC(C3=C2C=C(C=C3)CC(C)C)C(=O)O)C(=O)O
155490628,Glucopyranosyloxy-hydroxy-ibuprofen,CC(C)CC1=CC=C(C=C1)C(COC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)(C(=O)O)O
171381046,Ibuprofen PEG Ester,CC(C)CC1=CC=C(C=C1)C(C)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCO
