,Compound_CID,Name,SMILES
124,139196856,DL-Prolinium cocrystal of RS-Naproxen,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1C[C@H]([NH2+]C1)C(=O)[O-].O
125,139198552,S-naproxen D-tryptophan monohydrate,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)[O-])[NH3+].O
126,139198553,S-naproxen D-tyrosine,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O.C1=CC(=CC=C1C[C@H](C(=O)[O-])[NH3+])O
127,129629076,Naproxen HEXAL,C[C@@H](C1=C(C2=C(C(=C1C=O)C=O)C(=C(C(=C2C=O)C=O)OC)C=O)C=O)C(=O)O
128,138395483,"Naproxen,acetyloxypropyl ester",CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCCOC(=O)C
129,138395487,Naproxen acetyloxybutyl ester,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OCCCCOC(=O)C
130,129689488,Naproxen nitrite,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)OON=O
131,13075209,"5-Chloronaproxen, (S)-",C[C@@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)Cl)C(=O)O
132,71771710,"5-Iodonaproxen, (S)-",C[C@@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)I)C(=O)O
133,1302,2-(6-Methoxy-2-naphthyl)propionic acid,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
134,575523,1-(6-Methoxy-2-naphthyl)ethanol,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)O
135,11789931,2-Ethyl-6-methoxynaphthalene,CCC1=CC2=C(C=C1)C=C(C=C2)OC
136,11529664,"5-Bromonaproxen, (S)-",C[C@@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)Br)C(=O)O
137,288634,6-Methoxy-2-naphthol,COC1=CC2=C(C=C1)C=C(C=C2)O
